county,fuel,ID,Lat,Lng,name,brand,addr1,addr2,price,trend,dateupdated,dateupdatedshort,Updater,Zone,County
Roscommon,Petrol,3144,53.523825332,-8.320858281,Texaco,Texaco,Lower Main Street,Ballygar,156.9,stable,2014-10-07,7th Oct,clanen,Ballygar,Galway
Roscommon,Petrol,3444,53.801579101,-8.772022426,Burke and Coyne,Emo,Coolnaha,Ballyhaunis,157.9,down,2023-04-04,4th Apr,Mayo-23,Ballyhaunis,Mayo
Roscommon,Petrol,1577,53.470578891,-8.263234608,Dempsey's Garage ,Top,Ballyforan,Ballinasloe,157.9,down,2022-12-16,16th Dec,mmca,Ballinasloe,Roscommon
Roscommon,Petrol,3919,53.760307348,-7.745940685,Kiernans,Independent,Carriglass,Killoe,158.9,down,2013-12-22,22nd Dec,MorpheusRD,Killoe,Longford
Roscommon,Petrol,1103,53.432847750,-7.939576660,Arcadia Retail Centre ,Applegreen,Arcadia,Athlone,159.8,down,2023-02-26,26th Feb,EK22,Athlone,Westmeath
Roscommon,Petrol,1628,53.762067414,-8.486334759,Ashview Filling Station,Topaz [corrib oil],Patrick Street,Castlerea,159.9,down,2023-04-22,22nd Apr,dcoveney.,Castlerea,Roscommon
Roscommon,Petrol,3181,53.676863894,-8.581927555,Smyths Gala Service Station & Shop,TOP,Main St,Williamstown,159.9,down,2023-04-22,22nd Apr,dcoveney.,Castlerea,Galway
Roscommon,Petrol,1132,53.943837988,-8.071000525,Kennedys Service Station,Topaz,Dublin Rd,Carrick on Shannon ,159.9,down,2023-04-13,13th Apr,06548113...,Carrick-on-Shannon,Leitrim
Roscommon,Petrol,4574,53.941929601,-8.106622696,Stewarts Oil,Stewarts Oil,Sligo Road,Carrick on Shannon,159.9,down,2023-04-13,13th Apr,06548113...,Carrick-on-Shannon,Leitrim
Roscommon,Petrol,250,53.743330521,-7.803554535,McGraths Filling Station,McGraths (Texaco),Sligo Road,Longford,159.9,down,2023-04-13,13th Apr,06548113...,Longford,Longford
Roscommon,Petrol,1351,53.641780000,-8.211360000,Corrib Oil,Topaz,Racecourse Road,Roscommon,159.9,down,2023-04-11,11th Apr,greasy boy,Roscommon,Roscommon
Roscommon,Petrol,1629,53.685987380,-8.364905646,Kelly's Filling Station,Texaco,Rath,Ballintubber,159.9,stable,2013-06-29,29th Jun,hitemhard,Roscommon,Roscommon
Roscommon,Petrol,1134,53.941007595,-8.101086617,Lunney's Garage,Esso,Sligo Rd.,Carrick-on-Shannon,160.9,down,2023-04-13,13th Apr,06548113...,Carrick-on-Shannon,Roscommon
Roscommon,Petrol,3122,53.449789526,-7.985638916,Hudson Bay Service Station,Top,Roscommon Rd,Barrybeg,160.9,down,2023-04-10,10th Apr,06548113,Athlone,Roscommon
Roscommon,Petrol,3100,53.350204946,-7.848442032,Texaco,Texaco,Ballinahown,Baile na hAbhann,160.9,up,2013-11-24,24th Nov,coylemj,Athlone,Westmeath
Roscommon,Petrol,3160,53.604716530,-8.560339808,Campus,Campus,Kilkerrin Road,Glenamaddy,161.8,up,2023-04-24,24th Apr,kbrett,Glenamaddy,Galway
Roscommon,Petrol,1544,53.628987620,-8.186255483,Circle K Express ,Circle K,Athlone Road,Roscommon,161.9,stable,2023-04-22,22nd Apr,greasy boy,Roscommon,Roscommon
Roscommon,Petrol,1223,53.948504393,-8.092056329,O'Rourke's Service Station,Corrib Oil,Leitrim Road,Leitrim Road,161.9,down,2023-04-17,17th Apr,06548113...,Carrick-on-Shannon,Leitrim
Roscommon,Petrol,1523,53.473360594,-7.863935451,Top,Top,Glasson,Athlone,161.9,up,2022-12-09,9th Dec,PUMPS2011,Athlone,Westmeath
Roscommon,Petrol,3267,53.906596255,-8.588931112,McLoughlins Service Station,Independent,Charlestown Road,Ballaghadereen,162.8,up,2023-04-05,5th Apr,autoboy59,Ballaghadereen,Roscommon
Roscommon,Petrol,1799,53.972808211,-8.310435712,Gala,Applegreen,Gurteen Road,Boyle,162.8,stable,2023-03-22,22nd Mar,dcoveney.,Boyle,Roscommon
Roscommon,Petrol,1547,53.776819144,-8.252191544,Tulsk Service Station,Applegreen,Main St,Tulsk Cross,162.8,stable,2023-03-09,9th Mar,06548113,Tulsk,Roscommon
Roscommon,Petrol,3121,53.437201599,-8.750095259,O Donoghues Abbey Ltd,Texaco,Cois na Habhainn,Abbeyknockmoy,162.9,stable,2023-04-23,23rd Apr,fbrett,Tuam,Galway
Roscommon,Petrol,4262,53.884916346,-8.489685059,Top Oil,Top,Frenchaprk,ballaghadreen,162.9,down,2023-04-05,5th Apr,autoboy59,Other,Roscommon
Roscommon,Petrol,1113,53.328683990,-8.185067562,Dolan's Garage,Esso,Kilgarve,Ballinasloe,162.9,up,2023-03-31,31st Mar,kbrett,Ballinasloe,Roscommon
Roscommon,Petrol,638,53.278561099,-8.633831384,Duane's,Top,Kiltullagh,Athenry,162.9,up,2023-03-22,22nd Mar,kbrett,Co. Galway,
Roscommon,Petrol,3698,53.425677140,-7.940823287,Griffin's,Texaco,Northgate Street,Athlone,162.9,down,2023-03-10,10th Mar,06548113...,Athlone,Westmeath
Roscommon,Petrol,627,53.637002946,-8.191219055,Walsh's Filling Station,Maxol,Racecourse Road,Roscommon,162.9,up,2023-03-10,10th Mar,06548113...,Roscommon,Roscommon
Roscommon,Petrol,1542,53.965617429,-8.302256583,Cooney Motors Ltd,Texaco,Greatmeadow,Boyle,162.9,down,2023-03-08,8th Mar,HowMuch!.,Boyle,Roscommon
Roscommon,Petrol,1800,53.972060340,-8.301030327,Boyle Motor Works,Topaz,Carrick Road,Boyle,162.9,down,2023-03-08,8th Mar,TESCO900,Boyle,Roscommon
Roscommon,Petrol,4396,53.624586453,-8.171854019,Star Energy Service Station,Star Energy,Athlone Road,Roscommon Town,162.9,down,2023-03-07,7th Mar,"HighKing,",Roscommon,Roscommon
Roscommon,Petrol,1299,53.575384632,-8.093855381,Applegreen,Applegreen,N61,Knockcroghery,162.9,up,2023-02-24,24th Feb,06548113,Roscommon,Roscommon
Roscommon,Petrol,3648,53.485492037,-8.558692932,Clancy's,Top,Tuam Road,Moylough,163.8,up,2023-03-16,16th Mar,kbrett,Moylough,Galway
Roscommon,Petrol,969,53.900298939,-8.575835693,Towey's,Topaz,Dublin Road,Ballaghaderreen,163.9,down,2023-04-05,5th Apr,autoboy59,Ballaghadereen,Roscommon
Roscommon,Petrol,3310,53.995897303,-8.523159897,O'Gradys Service Station,Estuary,Main St,Gurteen,163.9,up,2023-03-22,22nd Mar,dcoveney.,Gurteen,Sligo
Roscommon,Petrol,1710,53.960051318,-8.793645558,Charles Service Station,TOP,Airport Road,Charlestown,163.9,up,2023-02-06,6th Feb,helgrim,Charlestown,Mayo
Roscommon,Petrol,3673,53.300543403,-8.745460510,Topaz,Topaz,Cloonan's The Arch,Caheroyan Road,164.9,up,2023-04-24,24th Apr,kbrett,Athenry,Galway
Roscommon,Petrol,3079,53.298049163,-8.743207455,Cloonan's Service Station,Topaz,Dublin Road,Athenry,164.9,up,2023-04-24,24th Apr,kbrett,Athenry,Galway
Roscommon,Petrol,1464,53.424267959,-7.963280167,The Grove Service Station,Texaco,"The Grove, Baylough",Athlone,165.5,down,2023-02-25,25th Feb,EK22,Athlone,Westmeath
Roscommon,Petrol,3075,53.297353398,-8.749277475,Somers',Texaco,Old Church St,Athenry,165.7,up,2023-04-24,24th Apr,kbrett,Athenry,Galway
Roscommon,Petrol,1405,53.433901952,-7.915005890,Fox's Filling Station ,Topaz,Ballymahon Road,Athlone,165.9,stable,2023-03-06,6th Mar,EK22,Athlone,Westmeath
Roscommon,Petrol,1580,53.426621083,-7.960495182,Mulligans of Athlone,Topaz,Roscommon Road,Athlone,165.9,up,2023-02-25,25th Feb,EK22,Athlone,Westmeath
Roscommon,Petrol,1465,53.421368666,-7.973856548,Kennedy's Monksland Service Station,Esso,Old Galway Road,Monksland,165.9,up,2023-02-25,25th Feb,EK22,Athlone,Roscommon
Roscommon,Petrol,4592,53.420153230,-7.923486829,Top,Top,Brideswell,Athlone,165.9,down,2023-02-17,17th Feb,06548113...,Athlone,Westmeath
Roscommon,Petrol,807,53.271313694,-7.820333708,Independent,Independent,Ballycumber Rd,Ferbane,165.9,up,2012-04-10,10th Apr,conor2604,Ferbane,Offaly
Roscommon,Petrol,3323,54.040648382,-7.830408863,Beirnes Filling Station,Independent,Ardrum,Ballinamore,167.9,up,2023-04-07,7th Apr,dcoveney,Ballinamore,Leitrim
Roscommon,Petrol,3215,53.767509597,-8.486913165,Doherty's Service Station,Estuary,The Square,Castlerea,167.9,down,2023-01-12,12th Jan,kbrett,Castlerea,Roscommon
Roscommon,Petrol,3927,53.673197109,-7.975387573,TOPAZ CULLENS XL,Topaz,Longford Rd,Lanesborough,167.9,up,2021-10-31,31st Oct,Hazzard,Lanesborough,Longford
